ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
2352-6483,2352-6491,2352-6483,21100894507,SMHL,Smart Health,2701;1710;2718;1706;3605,
2666-3376,2666-3376,,21101039904,SMHS,Sports Medicine and Health Science,2732;3612;2742;2737,
1359-6462,1872-8456,1359-6462,28379,SMM,Scripta Materialia,2500;3104;2211;2210;2506,
2772-8102,2772-8102,,,SMMF,Smart Materials in Manufacturing,,
1441-3523,,,12100156754,SMR,Sport Management Review,1403;1409;1408;1407;1803;1406,
2667-3444,2667-3444,,,SMSE,Sustainable Manufacturing and Service Economics,,"1800;1801;1802;1803;1404
"
0924-4247,1873-3069,0924-4247,13660,SNA,Sensors and Actuators: A. Physical,2504;3105;3104;2508;2506;2208,
0925-4005,1873-3077,0925-4005,25236,SNB,Sensors and Actuators: B. Chemical,2504;3105;3104;2508;2506;2208;2505,
2666-0539,2666-0539,,21101057896,SNR,Sensors and Actuators Reports,2504;1701;3107;3105;2208,"1602;1607
"
0960-7404,1879-3320,0960-7404,13149,SO,Surgical Oncology,2746;2730,
1550-7289,1878-7533,1550-7289,4100151501,SOARD,Surgery for Obesity and Related Diseases,2746,
2949-6977,2949-6977,,,SOCIMP,Societal Impacts,,
0362-3319,,,26437,SOCSCI,The Social Science Journal,3207;3312,
0038-0296,,,18775,SOCTRA,Sociologie du travail,1410;3312,
2667-0089,2667-0089,,,SODA,Surgery Open Digestive Advance,,"2746;2715
"
2352-7110,2352-7110,,21100422153,SOFTX,SoftwareX,1712;1706,
2949-7043,2949-7043,,,SOH,Science in One Health,,2725;2739
2950-2470,2950-2470,,,SOI,Surgical Oncology Insight,,
2950-2896,2950-2896,,,SOILAD,Soil Advances,,
0038-0814,2214-9260,0038-0814,29946,SOIN,Soins,2900,
2667-0062,2667-0062,,,SOISEC,Soil Security,,"1111
"
2772-9400,2772-9400,,,SOLCOM,Solar Compass,,"2105
"
0927-0248,1879-3398,0927-0248,13332,SOLMAT,Solar Energy Materials and Solar Cells,2504;2105;2508,
0378-8733,1879-2111,0378-8733,25987,SON,Social Networks,3314;3312;3300;3200,
0039-6257,1879-3304,0039-6257,20107,SOP,Survey of Ophthalmology,2731,
2589-8450,2589-8450,,21101082425,SOPEN,Surgery Open Science,2746,"2746
"
1876-7354,,,19700180841,SORMS,Surveys in Operations Research and Management Science,1710;2002;1706;1803,
0167-2738,1872-7689,0167-2738,29887,SOSI,Solid State Ionics,1600;2500;3104,
0304-4149,1879-209X,0304-4149,26929,SPA,Stochastic Processes and their Applications,2613;2611;2604,
2211-6753,2211-6753,,21100206605,SPASTA,Spatial Statistics,2613;1903;2308,
2352-5509,2352-5509,,21100416081,SPC,Sustainable Production and Consumption,2305;2304;2105;2209,
0167-6393,1872-7182,0167-6393,23671,SPECOM,Speech Communication,1712;2611;3315;1203;3310;1707;1706,
2949-8414,2949-8414,,,SPES,Smart Power & Energy Security,,
1529-9430,1878-1632,1529-9430,13070,SPINEE,The Spine Journal,2746;2732;2728,
1319-0164,2213-7475,1319-0164,22205,SPJ,Saudi Pharmaceutical Journal,3004;3003,
2405-7223,,,,SPJPM,St. Petersburg Polytechnical University Journal: Physics and Mathematics,,
1259-4792,2214-9325,1259-4792,29950,SPP,Soins Pédiatrie/Puériculture,2919,
0022-474X,1879-1212,0022-474X,20954,SPR,Journal of Stored Products Research,1106;1102;1109;1108,
0241-6972,2214-9295,0241-6972,29952,SPSY,Soins Psychiatrie,2921,
1546-2501,,,28215,SRAM,"Sexuality, Reproduction & Menopause",2712;2743;3200;2729;2748,
2173-1268,,,20500195027,SRFE,The Spanish Review of Financial Economics,2003;2002,
1877-5756,1877-5764,1877-5756,19700166805,SRHC,Sexual & Reproductive Healthcare,2729;2913,
2666-0172,2666-0172,,21101170018,SRS,Science of Remote Sensing,1107;1900,"1903
"
1752-9298,2467-9933,1752-9298,11600153410,SRT,Space Research Today,2202;1912,
2590-2911,2590-2911,,21101142603,SSAHO,Social Sciences & Humanities Open,3301;3201;1801,"3312
"
0038-1098,1879-2766,0038-1098,29886,SSC,Solid State Communications,1600;3104;2505,
1984-0063,,,21100242616,SSCI,Sleep Science,2801;2701;2802,
0038-1101,1879-2405,0038-1101,27206,SSE,Solid State Electronics,2504;3104;2208;2505,
2589-2088,2589-2088,,,SSEL,Solid State Electronics Letters,,
0277-9536,1873-5347,0277-9536,18983,SSM,Social Science & Medicine,3306;1207,
2949-8562,2949-8562,,,SSMHS,SSM - Health Systems,,2719;2739;3306
2666-5603,2666-5603,,21101134736,SSMMH,SSM - Mental Health,3301;3201,"3306
"
2352-8273,2352-8273,,21100443787,SSMPH,SSM - Population Health,3306;2719;2739,
2667-3215,2667-3215,,21101140103,SSMQR,SSM - Qualitative Research in Health,3306;3301,"3306
"
2950-1040,2950-1040,,,SSPWT,Space Solar Power and Wireless Transmission,,
1569-187X,,,,SSR,Soil Science Reviews,,
1293-2558,1873-3085,1293-2558,25326,SSSCIE,Solid State Sciences,1600;2500;3104,
1353-2561,,,24516,SSTB,Spill Science and Technology Bulletin,2300,
1877-5845,1877-5853,1877-5845,19700167025,SSTE,Spatial and Spatio-temporal Epidemiology,2713;3305;2725;2307,
2773-0328,2773-0328,,21101167218,STAE,Sustainable Technology and Entrepreneurship,2003;2002;2001,
1572-3127,,,3900148225,STAMET,Statistical Methodology,2613,
0167-7152,1879-2103,0167-7152,14794,STAPRO,Statistics and Probability Letters,2613;1804,
0039-128X,1878-5867,0039-128X,14805,STE,Steroids,1303;1312;1310;3004;1605;1308,
1934-5909,1875-9777,1934-5909,6100153018,STEM,Cell Stem Cell,1313;1311;1307,
2213-6711,2213-6711,,21100248838,STEMCR,Stem Cell Reports,1303;1311;1309;1307,
0969-2126,1878-4186,0969-2126,14274,STFODE,Structure,1315;1312,
0167-1987,1879-3444,0167-1987,38003,STILL,Soil & Tillage Research,1102;1111;1904,
2666-9641,2666-9641,,21101140109,STLM,Annals of 3D Printed Medicine,2204;2718,
2603-6363,,,21100871294,STMAT,Science and Technology of Materials,2105;2500;2209,
2083-4055,,,,STOEST,Stomatologia Estetyczna,,
0048-9697,1879-1026,0048-9697,25349,STOTEN,Science of the Total Environment,2305;2304;2311;2310,
0954-349X,1873-6017,0954-349X,29487,STRECO,Structural Change and Economic Dynamics,2002,
2667-064X,2667-064X,,21101067154,STRESS,Plant Stress,1105;1110,"1110
"
0963-8687,1873-1198,0963-8687,12396,STRINF,Journal of Strategic Information Systems,1404;1710;1802,
0167-4730,1879-3355,0167-4730,17470,STRUCS,Structural Safety,2205;2215;2213,
0899-3289,,,39759,SUBABU,Journal of Substance Abuse,2800;2739;2738,
2215-910X,,,,SUMNEG,Suma de Negocios,,
0121-4381,,,19700188499,SUMPSI,Suma Psicológica,3200,
2772-8307,2772-8307,,21101161916,SUPCON,Superconductivity,2504;3104;2102;2208,"3104
"
0896-8446,1872-8162,0896-8446,24064,SUPFLU,The Journal of Supercritical Fluids,1500;3104;1606,
2667-2405,2667-2405,,21101157250,SUPMAT,Supramolecular Materials,1305;1601;2501,
2468-0230,2468-0230,,21100788797,SURFIN,Surfaces and Interfaces,2508;3100;3104;3110;1600,
1479-666X,2405-5840,1479-666X,22304,SURGE,The Surgeon,2746,
0039-6028,1879-2758,0039-6028,12284,SUSC,Surface Science,3104;3110;2508;2505,
2210-5379,2210-5387,2210-5379,19700201455,SUSCOM,Sustainable Computing: Informatics and Systems,1700;2208,
2214-9937,2214-9937,2214-9929,21100442376,SUSMAT,Sustainable Materials and Technologies,2105;2500;2311;2209,
2666-4127,2666-4127,,21101107945,SUSOC,Sustainable Operations and Computers,2306;2105;1706;1803;2209,
0167-5729,1879-274X,0167-5729,12286,SUSREP,Surface Science Reports,2504;3104;3110;2508;2506;2505;1600,
2212-6139,,,21100305331,SWAQE,Sustainability of Water Quality and Ecology,2303;2312,
2210-6502,2210-6510,2210-6502,19900192513,SWEVO,Swarm and Evolutionary Computation,1700;2600,
2213-736X,,,,SX77,Annual Report on Periodontal and Implant Treatment,,
2050-0521,2050-0521,,21100337102,SXMR,Sexual Medicine Reviews,2712;2743;1310;2748;2738,
0723-2020,1618-0984,0723-2020,20861,SYAPM,Systematic and Applied Microbiology,2404;1105;2402,
2950-1032,2950-1032,,,SYCRS,Surgery Case Reports: Advances and Techniques,,2746
2405-805X,2405-805X,,21100832688,SYNBIO,Synthetic and Systems Biotechnology,1315;2204;2402;1311,
0379-6779,1879-3290,0379-6779,18375,SYNMET,Synthetic Metals,2504;3104;2211;2210;2506;2505,
2213-7130,,,21100369168,SYNRES,Synergy,2701;1312;1307;2736,
0346-251X,1879-3282,0346-251X,23256,SYS,System,1203;3304;3310,
1383-7621,1873-6165,1383-7621,12398,SYSARC,Journal of Systems Architecture,1712;1708,
1575-0973,,,9800153137,TA,Trastornos adictivos,3004;2738,
2210-8440,2210-8467,2210-8440,19700200839,TACC,Trends in Anaesthesia and Critical Care,2706;2703,
0167-8442,1872-7638,0167-8442,14588,TAFMEC,Theoretical and Applied Fracture Mechanics,2500;3104;2210;2604,
0039-9140,1873-3573,0039-9140,24555,TAL,Talanta,1602,
2666-8319,2666-8319,,21101047132,TALO,Talanta Open,1602,"1602
"
2095-0349,2589-0336,2095-0349,21100390176,TAML,Theoretical and Applied Mechanics Letters,2206;2305;2205;2204;2202;2212;2211;2210,
0742-051X,1879-2480,0742-051X,23316,TATE,Teaching and Teacher Education,3304,
2667-3207,2667-3207,,,TATELP,Teaching and Teacher Education: Leadership and Professional Development,,"3304;1407
"
0306-4565,1879-0992,0306-4565,14901,TB,Journal of Thermal Biology,1314;1303;1100;1309,
2772-4859,2772-4859,,,TBENCH,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",,
2214-367X,2214-3688,2214-367X,21100316002,TBS,Travel Behaviour and Society,3305;3313,
0040-6031,1872-762X,0040-6031,27083,TCA,Thermochimica Acta,3105;3104;1606,
1938-9736,1946-9837,1938-9736,11600153419,TCAM,Topics in Companion Animal Medicine,3404,
2666-951X,2666-951X,,21101170021,TCHEM,Tetrahedron Chem,1605,"1303;1605
"
1050-1738,1873-2615,1050-1738,20655,TCM,Trends in Cardiovascular Medicine,2705,
1016-3190,,,93144,TCMJ,Tzu Chi Medical Journal,2700,
2352-6440,2352-6440,,21100416035,TCR,Trauma Case Reports,2711;2732;2706,
2225-6032,2589-3025,2225-6032,21101141512,TCRR,Tropical Cyclone Research and Review,2306;2611;3311;1903;1902,
0304-3975,1879-2294,0304-3975,20571,TCS,Theoretical Computer Science,2614;1700,
2468-2330,2468-2330,,21100970312,TCSW,The Cell Surface,2404;2402;1312;1307,
1687-8574,,,,TDJ,Tanta Dental Journal,,
2950-3485,2950-3485,,,TDR,Translational Dental Research,,
2214-1588,2214-1588,,21100316072,TEAC,Trends in Environmental Analytical Chemistry,1602;2304,
2950-3957,2950-3957,,,TEADVA,Total Environment Advances,,
2949-8996,2949-8996,,,TEAM,Transport Economics and Management,,3313
0166-4972,1879-2383,0166-4972,14726,TECH,Technovation,2200;1405,
2664-3294,2667-3614,,,TECHUM,New Techno-Humanities,,"1803
"
0040-1951,1879-3266,0040-1951,28990,TECTO,Tectonophysics,1908;1904,
1645-9911,,,,TEKHNE,TÉKHNE - Review of Applied Management Studies,,
0736-5853,1879-324X,0736-5853,20896,TELE,Telematics and Informatics,1705;2208,
2772-5030,2772-5030,,21101165606,TELER,Telematics and Informatics Reports,2201,1705;1706;1700;1702;1709
1557-3087,1557-2013,1557-3087,5000157102,TELN,Teaching and Learning in Nursing,2922;2911;2908,
1043-2760,1879-3061,1043-2760,26746,TEM,Trends in Endocrinology & Metabolism,2712;1310,
0022-4898,1879-1204,0022-4898,18898,TER,Journal of Terramechanics,2210,
0040-4020,1464-5416,0040-4020,26512,TET,Tetrahedron,1303;3002;1605,
0957-4166,,,26513,TETASY,Tetrahedron: Asymmetry,1503;1606;1605;1604,
0040-4039,1873-3581,0040-4039,26514,TETL,Tetrahedron Letters,1303;3002;1605,
2666-7193,2666-7193,,21101038829,TFP,"Trees, Forests and People",1107;2001;2308,
0040-1625,1873-5509,0040-1625,14704,TFS,Technological Forecasting & Social Change,1403;3202;1405,
2773-2231,2773-2231,,,TGCHEM,Tetrahedron Green Chem,,1605
1472-9288,,,14333,THAREL,Thalamus & Related Systems,2800;2728,
1431-7613,,,14345,THBIO,Theory in Biosciences,2613;1105;2604,
0093-691X,1879-3231,0093-691X,18903,THE,Theriogenology,3404;3403;1103;3402,
0968-0160,1873-5800,0968-0160,23483,THEKNE,The Knee,2732,
0040-5957,1958-5578,0040-5957,20132,THERAP,Therapies,2736,
2773-093X,2773-093X,,,THERWI,Theriogenology Wild,,1103;3401;3403
1290-0729,1778-4166,1290-0729,13761,THESCI,International Journal of Thermal Sciences,3104;2200,
2950-3000,2950-3000,,,THSCIE,Thyroid Science,,
0968-0004,1362-4326,0968-0004,14816,TIBS,Trends in Biochemical Sciences,1303;1312,
0167-7799,1879-3096,0167-7799,16146,TIBTEC,Trends in Biotechnology,1305;1502,
0962-8924,1879-3088,0962-8924,19066,TICB,Trends in Cell Biology,1307,
1364-6613,1879-307X,1364-6613,15359,TICS,Trends in Cognitive Sciences,3206;3205;2805,
0924-2244,1879-3053,0924-2244,22475,TIFS,Trends in Food Science & Technology,1305;1106,
2590-0307,2590-0307,2666-5107,21101036624,TIGE,Techniques and Innovations in Gastrointestinal Endoscopy,2741;2715,
0168-9525,1362-4555,0168-9525,19049,TIGS,Trends in Genetics,1311,
0966-842X,1878-4380,0966-842X,20862,TIMI,Trends in Microbiology,2404;2726;2406;2725,
2211-9493,2211-9493,2452-0837,21100228128,TINE,Trends in Neuroscience and Education,2801;3304;2805;2802,
0166-2236,1878-108X,0166-2236,19939,TINS,Trends in Neurosciences,2800,
0165-6147,1873-3735,0165-6147,22321,TIPS,Trends in Pharmacological Sciences,3005;3004,
2405-6324,2405-6324,,21101021774,TIPSRO,Technical Innovations & Patient Support in Radiation Oncology,2741;2917;2719;2904,
0160-791X,1879-3274,0160-791X,18676,TIS,Technology in Society,3307;1403;3304;3312,
0887-2333,1879-3177,0887-2333,25224,TIV,Toxicology in Vitro,3005,
2452-2473,,,21100875599,TJEM,Turkish Journal of Emergency Medicine,2711;2706,
1555-4155,1878-058X,,3300148002,TJNP,The Journal for Nurse Practitioners,2902,
0022-3166,1541-6100,0022-3166,12716,TJNUT,The Journal of Nutrition,2701;2916,
2211-5056,,,21100243805,TJO,Taiwan Journal of Ophthalmology,2731,
1028-4559,1875-6263,1028-4559,130096,TJOG,Taiwanese Journal of Obstetrics & Gynecology,2729,
2468-5011,2468-5011,,21100967310,TMA,Translational Medicine of Aging,1314;1302;2717;2728;1307,
1477-8939,1873-0442,1477-8939,20200,TMAID,Travel Medicine and Infectious Disease,2739;2725,
2949-673X,2949-673X,,,TMATER,Tomography of Materials and Structures,,2210;2211;3104;2500
2214-7543,,,,TMDLC,"Translational Medicine in Diabetes, Lipids and Cardiovascular Prevention",,
2211-9736,2211-9744,2211-9736,21100202157,TMP,Tourism Management Perspectives,1409,
2588-9303,2588-9303,,,TMSR,Translational Metabolic Syndrome Research,,
1925-2099,1925-2099,,21100923467,TNCR,Transnational Corporations Review,1403;3303;2003;2002,
0040-9383,,,27415,TOP,Topology,2608,
0166-8641,1879-3207,0166-8641,27416,TOPOL,Topology and its Applications,2608,
2772-8099,2950-3957,,21101175796,TOTERT,Total Environment Research Themes,2301,"2300;2301;2304;2310
"
0300-483X,1879-3185,0300-483X,25219,TOX,Toxicology,3005,
2352-0078,2352-0086,2352-0078,21100376682,TOXAC,Toxicologie Analytique et Clinique,3005;2307,
0041-0101,1879-3150,0041-0101,22319,TOXCON,Toxicon,3005,
2590-1710,2590-1710,,21100896682,TOXCX,Toxicon: X,3005,
0378-4274,1879-3169,0378-4274,25240,TOXLET,Toxicology Letters,3005,
2214-7500,2214-7500,,21100367469,TOXREP,Toxicology Reports,3005;2307,
2451-9596,2451-9596,,21100788882,TPR,Transplantation Reports,2746;2747,
0041-1345,1873-2623,0041-1345,19279,TPS,Transplantation Proceedings,2746;2747,
1132-1954,,,,TQOT,Técnicas Quirúrgicas en Ortopedia y Traumatología. Edición Española,,
0049-3848,1879-2472,0049-3848,20648,TR,Thrombosis Research,2720,
0965-8564,1879-2375,0965-8564,20891,TRA,Transportation Research Part A,2205;1401;3313;2202;1803,
0165-9936,1879-3142,0165-9936,30867,TRAC,Trends in Analytical Chemistry,1602;1607,
0167-2940,,,,TRACLC,TRAC Trends in Analytical Chemistry (Library Comp.),,
1246-7820,1953-8022,1246-7820,26085,TRACLI,Transfusion clinique et biologique,2720;1308;2704,
1471-4051,,,18864,TRAMAN,International Journal of Transport Management,2203;3313;2210;1408,
1936-5233,1936-5233,1944-7124,19700175014,TRANON,Translational Oncology,2730;1306,
1473-0502,1878-1683,1473-0502,26074,TRASCI,Transfusion and Apheresis Science,2720,
0191-2615,1879-2367,0191-2615,20892,TRB,Transportation Research Part B,2205;3313,
0968-090X,1879-2359,0968-090X,20893,TRC,Transportation Research Part C,2205;2203;3313;1803,
2352-8737,,,21100415705,TRCI,Alzheimer's & Dementia: Translational Research & Clinical Interventions,2728;2738,
1361-9209,1879-2340,1361-9209,20894,TRD,Transportation Research Part D,2205;3313;2300,
1366-5545,1878-5794,1366-5545,20909,TRE,Transportation Research Part E,1403;2205;3313,
2405-8033,2405-8025,2405-8033,21100445640,TRECAN,Trends in Cancer,2730;1306,
2589-5974,2589-5974,2589-7209,21100904988,TRECHM,Trends in Chemistry,1600,
0169-5347,1872-8383,0169-5347,14365,TREE,Trends in Ecology & Evolution,1105,
1471-4906,1471-4981,1471-4906,21365,TREIMM,Trends in Immunology,2723;2403,
2666-691X,2666-691X,,21101053698,TRENG,Transportation Engineering,2205;2203;2202;2213;2210,"2102;2208
"
1471-4922,1471-5007,1471-4922,20863,TREPAR,Trends in Parasitology,2405;2725,
1369-8478,1873-5517,1369-8478,20897,TRF,Transportation Research Part F: Psychology and Behaviour,2205;2203;3313;3202,
2214-3912,2214-3912,,21100316068,TRGEO,Transportation Geotechnics,2205;3313;1909,
2214-854X,2214-854X,,21100451564,TRIA,Translational Research in Anatomy,2702,
0966-3274,1878-5492,0966-3274,21363,TRIM,Transplant Immunology,2723;2403;2747,
2590-1982,2590-1982,,21100943534,TRIP,Transportation Research Interdisciplinary Perspectives,2205;3305;2203;3313;2300;3322;1803,
2468-2322,,,21100970248,TRIT,CAAI Transactions on Intelligence Technology,1710;1709;1707;1705;1702,
2346-8092,,,21100871613,TRMI,Transactions of A. Razmadze Mathematical Institute,2600,
1471-4914,1471-499X,1471-4914,20205,TRMOME,Trends in Molecular Medicine,1313;1312,
1360-1385,1878-4372,1360-1385,17809,TRPLSC,Trends in Plant Science,1110,
2352-1465,2352-1465,2352-1457,21100448300,TRPRO,Transportation Research Procedia,3313,"3313
"
2212-9626,,,21100254699,TRPROT,Translational Proteomics,1303,
1931-5244,1878-1810,1931-5244,4700152753,TRSL,Translational Research,2739;2737;2704,
0035-9203,,,23046,TRSTMH,Transactions of the Royal Society of Tropical Medicine and Hygiene,2405;2739;2725,
2666-5727,2666-5727,,21101080185,TRU,Thrombosis Update,2720;2705,"2720
"
1871-1871,1878-0423,1871-1871,5000154503,TSC,Thinking Skills and Creativity,3304,
2451-9049,2451-9049,2451-9057,21100842663,TSEP,Thermal Science and Engineering Progress,1507,
0040-6090,1879-2731,0040-6090,12347,TSF,Thin Solid Films,2504;3110;2508;2506;2505,
1007-0214,,,25522,TSIST,Tsinghua Science & Technology,1000,
1877-959X,1877-9603,1877-959X,19700166804,TTBDIS,Ticks and Tick-borne Diseases,2405;2404;1109;2725,
0886-7798,1878-4364,0886-7798,14642,TUST,Tunnelling and Underground Space Technology incorporating Trenchless Technology Research,2215;1909,
2666-6790,2666-6790,,21101038573,TVR,Tumour Virus Research,2725;2406;1306,
0263-8231,1879-3223,0263-8231,22094,TWST,Thin-Walled Structures,2205;2215;2210,
2212-0955,2212-0955,,21100220478,UCLIM,Urban Climate,3305;2301;3322;1902,
1872-115X,,,4700152705,UCT,Update on Cancer Therapeutics,2730;1306,
1618-8667,1610-8167,1618-8667,145301,UFUG,Urban Forestry & Urban Greening,1107;2303;1111,
2664-3286,2667-3800,,21101177606,UGJ,Urban Governance,3305;3303;3322;2308,"3305
"
0304-3991,1879-2723,0304-3991,20941,ULTRAM,Ultramicroscopy,2504;3107;3105,
0041-624X,1874-9968,0041-624X,13516,ULTRAS,Ultrasonics,3102,
1350-4177,1873-2828,1350-4177,13517,ULTSON,Ultrasonics Sonochemistry,2304;1501;2741;3102;1605;1604,
0301-5629,1879-291X,0301-5629,35716,UMB,Ultrasound in Medicine & Biology,3614;1304;3102,
2214-0115,,,,UMKPRO,UMK Procedia,,
2666-5190,2666-5190,,21101150408,UNCRES,Unconventional Resources,2300;2100,
2467-9674,2467-9674,2096-2754,21100939600,UNDSP,Underground Space,2205;2215;1909,
2666-2604,2666-2604,,21101074783,UPSTRE,Upstream Oil and Gas Technology,1501;2103;1909;1908;1906,"1906;1907;1909;2102;2103
"
2667-0917,2667-0917,,,URBMOB,Journal of Urban Mobility,,"3313
"
1462-0758,,,71956,URBWAT,Urban Water,2303;2310,
2590-2806,2590-2806,,,URINE,Urine,,
0090-4295,1527-9995,0090-4295,20558,URL,Urology,2748,
1078-1439,1873-2496,1078-1439,13205,URO,Urologic Oncology: Seminars and Original Investigations,2730;2748,
0120-789X,,,21100370476,UROCO,Urología Colombiana,2748,
1879-5226,,,19700175262,UROLS,Urological Science,2748,
2590-0897,2590-0897,,,UROLVJ,Urology Video Journal,,"2748
"
2007-4085,,,90851,UROMX,Revista Mexicana de Urología,2748,
2445-4052,,,,UROMXE,Revista Mexicana de Urología (English Edition),,
2352-0779,,,21100324362,URPR,Urology Practice,2748,
1467-2987,1467-2995,1467-2987,19498,VAA,Veterinary Anaesthesia and Analgesia,3400,
0042-207X,1879-2715,0042-207X,12489,VAC,Vacuum,3105;3104;2508,
1876-0775,,,,VACCOM,The Vaccine Companion,,
2405-7843,,,21100814028,VACREP,Vaccine Reports,2404;2403;2739;2725,
1576-9887,1578-8857,1576-9887,9800153138,VACUN,Vacunas: investigación y práctica,2403;2725,
2445-1460,2445-1460,,,VACUNE,Vacunas (English Edition),,"2739
"
2451-943X,2451-943X,,21100894506,VAS,Veterinary and Animal Science,1103;3400,
2214-2096,2214-210X,2214-2096,21100324363,VEHCOM,Vehicular Communications,2203;2208,
2773-0417,2773-0417,,,VESIC,Extracellular Vesicle,,
2214-5672,2214-5680,2214-5672,21100368857,VETCLI,Revue vétérinaire Clinique,3404,
0165-2427,1873-2534,0165-2427,19520,VETIMM,Veterinary Immunology and Immunopathology,2403;3400,
0378-1135,1873-2542,0378-1135,20882,VETMIC,Veterinary Microbiology,2404;3400,
0304-4017,1873-2550,0304-4017,19537,VETPAR,Veterinary Parasitology,2405;3400,
2772-5359,2772-5359,,,VETVAC,Veterinary Vaccine,,
2468-4481,2468-4481,,21100810707,VGIE,VideoGIE,2741;2715,
2212-1099,2212-1102,2212-1099,21100218529,VHRI,Value in Health Regional Issues,2001;3001;2719,
0924-2031,1873-3697,0924-2031,21999,VIBSPE,Vibrational Spectroscopy,1607,
2214-6695,,,21100356781,VIREP,Virology Reports,1303;2406,
0166-0934,1879-0984,0166-0934,20241,VIRMET,Journal of Virological Methods,2406,
1995-820X,1995-820X,,,VIRS,Virologica Sinica,,
0168-1702,1872-7492,0168-1702,20888,VIRUS,Virus Research,2406;2725;1306,
2468-502X,2468-502X,2543-2656,21100907392,VISINF,Visual Informatics,1712;1709;1704,
2405-4690,2405-4690,,21100431882,VISJ,Visual Journal of Emergency Medicine,2711,
2212-0971,,,21100268208,VJGIEN,Video Journal and Encyclopedia of GI Endoscopy,2741;2715,
0167-9260,1872-7522,0167-9260,17932,VLSI,Integration,1712;1708;2208,
0377-0273,1872-6097,0377-0273,28449,VOLGEO,Journal of Volcanology and Geothermal Research,1908;1906,
1537-1891,1879-3649,1537-1891,22378,VPH,Vascular Pharmacology,1314;1313;3004,
2590-1389,,,21100896491,VPOA,Veterinary Parasitology: X,2405;3400,
2405-9390,2405-9390,,21100781742,VPRSR,Veterinary Parasitology: Regional Studies and Reports,2405;3400,
0042-6989,1878-5646,0042-6989,15165,VR,Vision Research,2731;2809,
2096-5796,2666-1209,,21101060163,VRIH,Virtual Reality & Intelligent Hardware,1709;1706;1704,
1634-0760,,,,VSF,Vocation sage-femme,,
2212-0947,2212-0947,,21100265617,WACE,Weather and Climate Extremes,3305;1902;2308,
0165-2125,1878-433X,0165-2125,12517,WAMOT,Wave Motion,2611;3100;2605;2604,
1939-4551,1939-4551,,19700176005,WAOJOU,World Allergy Organization Journal,2723;2403;2740,
1366-7017,,,18783,WAPOL,Water Policy,3305;2312;2308,
2468-3124,2468-3124,,21100868097,WASEC,Water Security,1910;2312;2311;2308,
2772-7351,2772-7351,,21101097037,WATBS,Water Biology and Security,1104;1103;2312;1101,
2666-4453,2666-4453,,21101060459,WATCYC,Water Cycle,2305;2312;2201,
2949-7515,2949-7515,,,WCN,Women and Children Nursing,,
0305-750X,1873-5991,0305-750X,30060,WD,World Development,3305;3303;3312;2002,
2452-2929,2452-2929,2468-0532,21100780469,WDP,World Development Perspectives,3305;3303;3312;2002,
2772-655X,2772-655X,,,WDS,World Development Sustainability,,"3303;3300;3305;2105
"
0043-1648,1873-2577,0043-1648,22156,WEA,Wear,3104;2211;3110;2508;2505,
1570-8268,1873-7749,1570-8268,14879,WEBSEM,Journal of Web Semantics,1712;1709;1705,
2950-3604,2950-3604,,,WEER,Wind Energy and Engineering Research,,
2950-2357,2950-2357,,,WEES,Wearable Electronics,,
1080-6032,1545-1534,1080-6032,20901,WEM,Wilderness & Environmental Medicine,2711;2739,
2588-9125,2588-9125,,21101115600,WEN,Water-Energy Nexus,2207;2305;2105;2312;2311,
2212-9774,,,21100368201,WEP,Wine Economics and Policy,1106;2000;1108,
2949-6683,2949-6683,,,WFUMBO,WFUMB Ultrasound Open,,
1049-3867,1878-4321,,20122,WHI,Women's Health Issues,3306;2729;2739;2913,
1003-5257,2773-0751,1003-5257,21100409314,WJAM,World Journal of Acupuncture – Moxibustion,2707,
2095-8811,,,21101040638,WJORL,World Journal of Otorhinolaryngology-Head and Neck Surgery,2746;2733,
0956-053X,1879-2456,0956-053X,26490,WM,Waste Management,2311,
2949-7507,2949-7507,,,WMB,Waste Management Bulletin,,
2213-9095,,,21100256962,WNDM,Wound Medicine,2746,
1878-8750,1878-8769,1878-8750,19700171401,WNEU,World Neurosurgery,2746;2728,
2590-1397,2590-1397,,21100896304,WNSX,World Neurosurgery: X,2746;2728,
2213-560X,,,,WOMAN,Woman - Psychosomatic Gynaecology and Obstetrics,,
1871-5192,1878-1799,1871-5192,4700152255,WOMBI,Women and Birth,2729;2913,
1090-9516,1878-5573,1090-9516,29400,WORBUS,Journal of World Business,1403;2003;1406,
0172-2190,1874-690X,0172-2190,15069,WPI,World Patent Information,1502;2105;2103;2102;1508;1706;3309,
1723-8617,,,6200180159,WPSYC,World Psychiatry,2921;2738,
0043-1354,1879-2448,0043-1354,18795,WR,Water Research,2305;2205;2302;2312;2311;2310,
2212-4284,2212-4284,,21100256972,WRE,Water Resources and Economics,3305;2312;2002,
2212-3717,2212-3717,,21100254652,WRI,Water Resources and Industry,3305;2312,
2589-9147,2589-9147,,21100897159,WROA,Water Research X,2302;2312;2311;2310,
2212-6082,,,21100299422,WRR,Water resources and rural development,3305;3303;2312,
1674-2370,2405-8106,1674-2370,19700186900,WSE,Water Science and Engineering,2205;2212,
2589-4714,2589-4714,,21101158942,WSEE,Watershed Ecology and the Environment,2303;2312;2301,
